id,topic,sub_topic,question,correct_answer,distractor_1,distractor_2,distractor_3,explanation,difficulty
664bfe91,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [73, 75, 43, 56, 10, 25, 34, 86]. Perform Bubble Sort. What is the exact state of the array after the completion of 6 full pass(es)?","[10, 25, 34, 43, 56, 73, 75, 86]","[73, 75, 43, 56, 10, 25, 34, 86]","[10, 25, 34, 43, 56, 73, 75, 86]","[86, 75, 10, 56, 73, 34, 43, 25]","After 6 passes of Bubble Sort, the largest 6 elements effectively 'bubble' to the end in sorted order.",Medium
5ad2b4bd,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [22, 35, 37, 36, 20]. What is the Preorder traversal sequence of the resulting tree?","[22, 20, 35, 37, 36]","[20, 36, 37, 35, 22]","[22, 35, 37, 36, 20]","[37, 36, 35, 22, 20]",The BST is constructed by inserting nodes. Preorder visits nodes in specific recursive order.,Hard
a5a599ec,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [20, 2, 22, 35, 38, 19, 23]. What is the Inorder traversal sequence of the resulting tree?","[2, 19, 20, 22, 23, 35, 38]","[20, 2, 19, 22, 35, 23, 38]","[20, 2, 22, 35, 38, 19, 23]","[38, 35, 23, 22, 20, 19, 2]",The BST is constructed by inserting nodes. Inorder visits nodes in specific recursive order.,Hard
45d7c943,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [31, 46, 14, 41, 3, 7]. What is the Inorder traversal sequence of the resulting tree?","[3, 7, 14, 31, 41, 46]","[31, 14, 3, 7, 46, 41]","[31, 46, 14, 41, 3, 7]","[46, 41, 31, 14, 7, 3]",The BST is constructed by inserting nodes. Inorder visits nodes in specific recursive order.,Hard
6eb11c98,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(1), Pop(), Push(2), Pop(), Push(18). What is the element at the TOP of the stack after these operations?",18,18,19,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
99ae999f,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(7), Push(12), Push(16), Pop(), Pop(), Pop(), Push(19). What is the element at the TOP of the stack after these operations?",19,19,20,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
e2bebbf7,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(11), Push(15), Push(12), Pop(). What is the element at the TOP of the stack after these operations?",15,11,16,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
717f725a,Sorting Algorithms,Bubble Sort Tracing,"Consider the array A = [30, 26, 70, 71, 97, 44]. Perform Bubble Sort. What is the exact state of the array after the completion of 3 full pass(es)?","[26, 30, 44, 70, 71, 97]","[30, 26, 70, 71, 97, 44]","[26, 30, 44, 70, 71, 97]","[30, 26, 44, 71, 97, 70]","After 3 passes of Bubble Sort, the largest 3 elements effectively 'bubble' to the end in sorted order.",Medium
60002b95,Trees,BST Traversal,"We insert the following values into an empty Binary Search Tree (BST) in this specific order: [36, 3, 32, 24, 13]. What is the Preorder traversal sequence of the resulting tree?","[36, 3, 32, 24, 13]","[13, 24, 32, 3, 36]","[36, 3, 32, 24, 13]","[36, 32, 24, 13, 3]",The BST is constructed by inserting nodes. Preorder visits nodes in specific recursive order.,Hard
6e855e52,Stacks,Operation Tracing,"Perform the following operations on an empty Stack: Push(6), Pop(), Push(13), Push(20). What is the element at the TOP of the stack after these operations?",20,13,21,Stack Underflow,A Stack follows LIFO (Last In First Out). We trace the push/pop operations to find the last remaining item.,Easy
